#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539890978933768,1.0743720335,-0.8099064690,0.0948953508,-0.2736169046,0.0009312509,-0.0643736192,0.9596816969
1690539890988994214,1.0743922916,-0.8099322098,0.0948937365,-0.2725341900,0.0003358386,-0.0647836775,0.9599625397
1690539890998788223,1.0744819544,-0.8107112729,0.0953968901,-0.2696478293,0.0037486385,-0.0579849023,0.9612043211
1690539891008943038,1.0743011834,-0.8096357597,0.0948784808,-0.2735485097,-0.0010848673,-0.0657118246,0.9596103334
1690539891019038117,1.0743055302,-0.8097245409,0.0949400411,-0.2743291982,0.0003247528,-0.0654129061,0.9594084309
1690539891028987364,1.0743087801,-0.8096828478,0.0949258562,-0.2745581689,0.0008837682,-0.0653538919,0.9593466004
1690539891038935685,1.0742828261,-0.8096417085,0.0948664575,-0.2739184719,-0.0007257318,-0.0655657271,0.9595151273
1690539891048959459,1.0743335104,-0.8095615424,0.0948829598,-0.2734310956,-0.0001949494,-0.0654825835,0.9596600592
1690539891059020481,1.0744865368,-0.8095826872,0.0949606892,-0.2723031238,0.0003243187,-0.0663728139,0.9599195556
1690539891068955887,1.0745869028,-0.8094759593,0.0949613317,-0.2702812148,-0.0012185683,-0.0674989925,0.9604116128
1690539891078996219,1.0746969219,-0.8092109138,0.0948723090,-0.2668122177,-0.0047227406,-0.0687806848,0.9612794358
1690539891089203263,1.0742742157,-0.8096725315,0.0949960702,-0.2748908352,0.0028607779,-0.0650235089,0.9592699245
1690539891098974785,1.0743028342,-0.8095548161,0.0948736531,-0.2737554495,-0.0001604510,-0.0655965528,0.9595598055
1690539891108947374,1.0743096056,-0.8095969317,0.0949006752,-0.2737782289,0.0004185105,-0.0656920125,0.9595466980
1690539891119005299,1.0742886846,-0.8097023639,0.0950172958,-0.2745322577,0.0028483047,-0.0651508881,0.9593640021
1690539891129069002,1.0742923462,-0.8095566909,0.0948834893,-0.2734960074,-0.0003178396,-0.0654807137,0.9596416566
1690539891138856587,1.0742944084,-0.8095545539,0.0948759610,-0.2737709089,-0.0003560569,-0.0656332183,0.9595528351
1690539891148977075,1.0743110692,-0.8096142892,0.0949136788,-0.2739461337,0.0005434529,-0.0657443352,0.9594951292
1690539891159002849,1.0743079178,-0.8096508090,0.0949588587,-0.2743652139,0.0018161565,-0.0653754192,0.9593990231
1690539891168855273,1.0742985048,-0.8096810644,0.0949892595,-0.2749120007,0.0026331258,-0.0652212360,0.9592510875
1690539891178925076,1.0743084824,-0.8097186529,0.0949958298,-0.2745945120,0.0024453861,-0.0652980796,0.9593372894
1690539891189102251,1.0747063091,-0.8092348414,0.0950756034,-0.2664748092,-0.0005697922,-0.0693971552,0.9613401512
1690539891198872847,1.0746465011,-0.8092316363,0.0949988234,-0.2672437702,-0.0014867666,-0.0686972424,0.9611759702
1690539891208934395,1.0745644348,-0.8093349318,0.0949879768,-0.2695284855,-0.0001360853,-0.0678423460,0.9605997049
1690539891219040776,1.0747091239,-0.8098402256,0.0951786536,-0.2664688436,-0.0003331263,-0.0710876776,0.9612183865
1690539891228852630,1.0745421848,-0.8098539380,0.0950969589,-0.2700443970,0.0014604170,-0.0685700078,0.9604020225
1690539891238949254,1.0744528192,-0.8098578618,0.0949733683,-0.2716975035,0.0005582998,-0.0666416484,0.9600724169
1690539891248860500,1.0743790806,-0.8099004168,0.0949255142,-0.2735258748,0.0013624938,-0.0648563950,0.9596746258
1690539891258925467,1.0743480428,-0.8099426670,0.0949002218,-0.2740713092,0.0011578063,-0.0643354600,0.9595543369
1690539891268875944,1.0743607914,-0.8099040786,0.0949062155,-0.2740732623,0.0016494890,-0.0643225793,0.9595539234
1690539891278914730,1.0743566534,-0.8104842627,0.0953262270,-0.2739025557,0.0056948509,-0.0555236229,0.9601364934
1690539891288981097,1.0743493756,-0.8104956485,0.0953294682,-0.2738704635,0.0058914501,-0.0551107784,0.9601682468
1690539891298806944,1.0743604150,-0.8099030316,0.0948984453,-0.2741333342,0.0015968199,-0.0644977651,0.9595250927
1690539891308996782,1.0743774675,-0.8098877902,0.0948712514,-0.2736318671,0.0007692150,-0.0643449960,0.9596794939
1690539891319161090,1.0743570040,-0.8099601648,0.0949297341,-0.2743948736,0.0022562382,-0.0641791214,0.9594703764
1690539891329051316,1.0743653852,-0.8099262179,0.0949044697,-0.2737642224,0.0004026605,-0.0647464451,0.9596149677
1690539891339170571,1.0743484861,-0.8099261947,0.0949076426,-0.2743039854,0.0016964583,-0.0644185425,0.9594814730
1690539891348894949,1.0743474914,-0.8098708226,0.0948734598,-0.2736672451,0.0006117513,-0.0646060405,0.9596519808
1690539891358918104,1.0743393509,-0.8099076322,0.0948938341,-0.2731420698,0.0007030264,-0.0644353519,0.9598130031
1690539891368947499,1.0743495818,-0.8100101492,0.0949412649,-0.2742921771,0.0021560454,-0.0645851309,0.9594727270
1690539891379217046,1.0743304533,-0.8100516498,0.0949326126,-0.2739009733,0.0009798864,-0.0649525289,0.9595616008
1690539891388909771,1.0743540365,-0.8101546451,0.0949752387,-0.2744678803,0.0020677216,-0.0646212394,0.9594202430
1690539891398815891,1.0744044602,-0.8101600167,0.0949460133,-0.2746765141,0.0016819863,-0.0652037144,0.9593218746
1690539891409168934,1.0744501234,-0.8102092800,0.0949755057,-0.2745529323,0.0019130426,-0.0651234471,0.9593622696
