#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540876853121391,0.5418336513,-0.3264058291,0.0871014824,-0.3388085080,-0.0063628638,0.0757317521,0.9377808969
1690540876863759121,0.5416656692,-0.3265246025,0.0871974520,-0.3419042862,0.0002837806,0.0782473253,0.9364714276
1690540876873204506,0.5418309649,-0.3264105855,0.0871015298,-0.3388548205,-0.0064263204,0.0757563043,0.9377617477
1690540876883607937,0.5418552276,-0.3265284053,0.0869420810,-0.3401065517,-0.0117426429,0.0755117942,0.9372767002
1690540876893257740,0.5416558800,-0.3265377205,0.0871957285,-0.3418478449,0.0001587794,0.0782721263,0.9364899893
1690540876903113318,0.5416701412,-0.3265312497,0.0872009957,-0.3418411789,-0.0001087357,0.0780591499,0.9365102059
1690540876913262262,0.5420186946,-0.3263687178,0.0868377101,-0.3362259884,-0.0190960839,0.0723754796,0.9388020102
1690540876923179322,0.5418304502,-0.3264202837,0.0871108741,-0.3388814662,-0.0066948085,0.0755318062,0.9377683497
1690540876933205838,0.5418170029,-0.3264070779,0.0870967752,-0.3388355031,-0.0065672265,0.0755040041,0.9377880990
1690540876943479981,0.5417542887,-0.3265145994,0.0873370790,-0.3364746929,-0.0090655025,0.0782570499,0.9383914065
1690540876953245659,0.5416662958,-0.3265482966,0.0872051766,-0.3419299000,0.0002903728,0.0783560147,0.9364529855
1690540876963248580,0.5418371384,-0.3264147327,0.0871032878,-0.3389457377,-0.0063603378,0.0756573433,0.9377373296
1690540876973340977,0.5418551867,-0.3265336282,0.0869484829,-0.3400074975,-0.0117415430,0.0753132824,0.9373286229
1690540876983164767,0.5418283339,-0.3264098864,0.0871015803,-0.3386920370,-0.0064717186,0.0755527532,0.9378366609
1690540876993343220,0.5418452634,-0.3264279763,0.0871167465,-0.3388879064,-0.0064710753,0.0755058447,0.9377696836
1690540877003214780,0.5416635262,-0.3265291231,0.0871960064,-0.3419559624,0.0000626398,0.0782453984,0.9364527609
1690540877013261172,0.5418504023,-0.3265329478,0.0869395648,-0.3400965309,-0.0115168676,0.0755120339,0.9372831185
1690540877023504045,0.5416641232,-0.3265440788,0.0871946728,-0.3420502306,0.0002047985,0.0782335949,0.9364192984
1690540877033664248,0.5416625878,-0.3265376291,0.0871950727,-0.3418623080,0.0000130655,0.0779976935,0.9365076198
1690540877043408020,0.5416601754,-0.3265451014,0.0872007496,-0.3418638707,0.0000513998,0.0781081954,0.9364978383
1690540877053177517,0.5420248102,-0.3263657791,0.0868310321,-0.3363328998,-0.0192435629,0.0721442374,0.9387785015
1690540877063251359,0.5418289345,-0.3264068901,0.0871018343,-0.3387638171,-0.0067090997,0.0754774161,0.9378151331
1690540877073251986,0.5418235073,-0.3264045363,0.0871107882,-0.3388543895,-0.0067348752,0.0754517232,0.9377842938
1690540877083429101,0.5416617821,-0.3265365639,0.0871982211,-0.3419152915,-0.0001026653,0.0780011099,0.9364879870
1690540877093302207,0.5418406640,-0.3264081684,0.0871083768,-0.3389160582,-0.0064834140,0.0756683504,0.9377463258
1690540877103270054,0.5416647058,-0.3265358924,0.0871913860,-0.3418813072,0.0000313010,0.0780739848,0.9364943266
1690540877113297523,0.5418217655,-0.3264045494,0.0871008764,-0.3388248461,-0.0062234951,0.0755564477,0.9377900698
1690540877123278999,0.5418336002,-0.3264045111,0.0871038857,-0.3388484723,-0.0064475018,0.0756562658,0.9377719723
1690540877133456602,0.5418379484,-0.3264069634,0.0871156622,-0.3389138852,-0.0063042758,0.0756397688,0.9377506385
1690540877143256102,0.5418161707,-0.3263996448,0.0870982833,-0.3388940816,-0.0064809307,0.0754640374,0.9377707492
1690540877153502773,0.5418338414,-0.3264075138,0.0871076143,-0.3390169832,-0.0061867530,0.0756447519,0.9377137520
1690540877163174269,0.5416603276,-0.3265442096,0.0872046062,-0.3419040797,-0.0000874544,0.0781949725,0.9364759148
1690540877173369576,0.5416593374,-0.3265280852,0.0871933255,-0.3419685364,0.0002221042,0.0780823062,0.9364617580
1690540877183271666,0.5418273487,-0.3264093044,0.0871015403,-0.3386868971,-0.0063758656,0.0756177211,0.9378339375
1690540877193331333,0.5418217348,-0.3264066303,0.0871009719,-0.3388538384,-0.0063324104,0.0754993544,0.9377834634
1690540877203283413,0.5418439938,-0.3265249158,0.0869458600,-0.3400174587,-0.0118982892,0.0753354417,0.9373212522
1690540877213316506,0.5416527576,-0.3265426337,0.0872023820,-0.3419372660,-0.0000301877,0.0780853885,0.9364729453
1690540877223670161,0.5416508860,-0.3265340970,0.0871935487,-0.3417953525,0.0000806219,0.0780006411,0.9365318096
1690540877233443007,0.5418210419,-0.3264090826,0.0871007444,-0.3389869169,-0.0062000935,0.0757030134,0.9377198317
1690540877243153921,0.5416706625,-0.3265501059,0.0871979994,-0.3418149280,-0.0002453332,0.0781109600,0.9365154418
1690540877253211535,0.5418328456,-0.3264041375,0.0871002952,-0.3389059909,-0.0062698915,0.0755192725,0.9377634335
1690540877263199900,0.5420374428,-0.3263770345,0.0868384397,-0.3364657795,-0.0192398704,0.0722929755,0.9387195174
1690540877273306354,0.5418425364,-0.3264180377,0.0871135545,-0.3389412994,-0.0062301096,0.0759334510,0.9377174907
1690540877283391623,0.5418367942,-0.3264101697,0.0871029214,-0.3389458621,-0.0063678236,0.0756359393,0.9377389605
1690540877293365829,0.5418437524,-0.3264145272,0.0871148219,-0.3389163923,-0.0062435024,0.0757082636,0.9377446116
1690540877303209952,0.5418299546,-0.3264198216,0.0871109090,-0.3387840893,-0.0065016603,0.0755912884,0.9378000994
1690540877313461867,0.5420442800,-0.3263717899,0.0868428205,-0.3365458038,-0.0191950747,0.0723447670,0.9386877573
1690540877323560049,0.5416673792,-0.3265481456,0.0872028838,-0.3418387275,-0.0000313788,0.0782223704,0.9364974875
1690540877333220685,0.5416585114,-0.3265390392,0.0871950483,-0.3418103286,-0.0000499272,0.0782025071,0.9365095113
1690540877343462869,0.5418477576,-0.3264068522,0.0871032558,-0.3388426591,-0.0065811682,0.0756138491,0.9377765653
1690540877353249204,0.5420266871,-0.3263684487,0.0868394650,-0.3363399409,-0.0192994420,0.0722805241,0.9387643482
1690540877363284191,0.5418319960,-0.3264229938,0.0871081462,-0.3388801233,-0.0063689016,0.0756136759,0.9377645073
1690540877373146363,0.5418233711,-0.3264115661,0.0871076641,-0.3389075560,-0.0064146489,0.0755872394,0.9377564129
1690540877383424851,0.5416601917,-0.3265355047,0.0871984595,-0.3420411797,0.0001709505,0.0781058253,0.9364332770
1690540877393342653,0.5418287439,-0.3264060854,0.0871044422,-0.3389917637,-0.0063550542,0.0756165730,0.9377240166
1690540877403125073,0.5418401445,-0.3264115774,0.0871129900,-0.3388829962,-0.0061516616,0.0757487123,0.9377540213
1690540877413486977,0.5418425464,-0.3264137460,0.0871040924,-0.3388915057,-0.0062755483,0.0757927662,0.9377465657
1690540877423533864,0.5418513585,-0.3264129666,0.0871098472,-0.3387940588,-0.0066815650,0.0755746824,0.9377965717
1690540877433228554,0.5418335872,-0.3264041204,0.0870963531,-0.3388864229,-0.0064001024,0.0755390720,0.9377680309
1690540877443538045,0.5416492461,-0.3265419969,0.0871887601,-0.3417966217,-0.0002555281,0.0777593930,0.9365513765
1690540877453225991,0.5418243198,-0.3264102222,0.0871039715,-0.3386826680,-0.0065801996,0.0755701656,0.9378378866
