#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539802117404248,0.8588518493,-0.7224314375,0.8797321237,0.3903075644,-0.0734808333,-0.0246800184,0.9174156468
1690539802127409390,0.8605368194,-0.7221733000,0.8841989298,0.3914594453,-0.0693243845,-0.0250797196,0.9172375047
1690539802137732422,0.8622301796,-0.7223880625,0.8888061320,0.3962022693,-0.0734072989,-0.0320046662,0.9146643273
1690539802147816334,0.8637002056,-0.7218689656,0.8928416338,0.4080128830,-0.0821622697,-0.0319836063,0.9087089180
1690539802157615119,0.8654924821,-0.7218811612,0.8969467202,0.4086397439,-0.0817822884,-0.0363413420,0.9082975965
1690539802167400573,0.8674871053,-0.7217565840,0.9007788876,0.4077349572,-0.0770945449,-0.0373624870,0.9090724286
1690539802177669379,0.8694700168,-0.7218409307,0.9044885297,0.4075973783,-0.0750907787,-0.0403437543,0.9091744242
1690539802187869275,0.8718715696,-0.7221574321,0.9083729595,0.3955503227,-0.0577152933,-0.0419541191,0.9156684657
1690539802197737649,0.8739719168,-0.7222683392,0.9116400207,0.3954878682,-0.0561008536,-0.0454349242,0.9156296784
1690539802207760292,0.8759829777,-0.7218403402,0.9145363578,0.4060799193,-0.0647455771,-0.0476189356,0.9102964058
1690539802217753470,0.8783453165,-0.7219356135,0.9173547825,0.4060873950,-0.0634228525,-0.0518269802,0.9101563237
1690539802227510376,0.8808704488,-0.7220189400,0.9200029474,0.4056784073,-0.0612152949,-0.0559646405,0.9102448443
1690539802237452835,0.8835676752,-0.7220587359,0.9224498455,0.4052133339,-0.0595031561,-0.0585282082,0.9104042933
1690539802247825742,0.8864602018,-0.7219206064,0.9246591682,0.4053520152,-0.0577138601,-0.0601387473,0.9103527806
1690539802257579041,0.8894958430,-0.7216819275,0.9267319872,0.4055149018,-0.0555721248,-0.0602071111,0.9104089780
1690539802267509567,0.8925988158,-0.7213262122,0.9286831745,0.4070674426,-0.0524636566,-0.0605121760,0.9098801781
1690539802277498617,0.8957341734,-0.7208550496,0.9304374235,0.4096876058,-0.0515729947,-0.0588092025,0.9088662000
1690539802287858413,0.8989121743,-0.7203649498,0.9321021244,0.4116911557,-0.0500104097,-0.0576621887,0.9081213703
1690539802297736084,0.9021480573,-0.7197707730,0.9336180321,0.4144452216,-0.0500239900,-0.0561862483,0.9069596817
1690539802307762528,0.9054642589,-0.7191884528,0.9350376844,0.4160710172,-0.0493657143,-0.0553995626,0.9062995219
1690539802317756413,0.9088560628,-0.7181734433,0.9363926307,0.4203056368,-0.0468308731,-0.0554089162,0.9044776907
1690539802327618836,0.9125293335,-0.7182096715,0.9375578728,0.4181068200,-0.0484258675,-0.0528419500,0.9055657628
1690539802337795023,0.9163184405,-0.7178771459,0.9387225816,0.4195776061,-0.0468453017,-0.0504420088,0.9051053828
1690539802347587501,0.9200754041,-0.7176554298,0.9399646775,0.4259493714,-0.0466680930,-0.0444823469,0.9024469751
1690539802357540463,0.9240594994,-0.7175905778,0.9409388752,0.4302816621,-0.0459071678,-0.0415586667,0.9005682098
1690539802367539056,0.9279694201,-0.7176403815,0.9418992068,0.4350129729,-0.0437466474,-0.0398730139,0.8984765367
1690539802377551516,0.9322549012,-0.7188812194,0.9429626689,0.4259521113,-0.0418314339,-0.0407263002,0.9028600658
1690539802387619930,0.9360002717,-0.7193907425,0.9438009440,0.4279327610,-0.0404043794,-0.0397723713,0.9020305963
1690539802397723569,0.9396911680,-0.7202399869,0.9446934659,0.4303380847,-0.0413540495,-0.0404931620,0.9008103459
1690539802407782552,0.9433775120,-0.7213638252,0.9455742020,0.4309739955,-0.0360264338,-0.0486602927,0.9003308765
1690539802417751275,0.9469227018,-0.7224907706,0.9465939899,0.4290454310,-0.0335865336,-0.0492629629,0.9013129997
1690539802427487103,0.9504810369,-0.7242485842,0.9473199914,0.4287252514,-0.0221674752,-0.0598029361,0.9011808202
1690539802437342142,0.9538424842,-0.7237335789,0.9475521173,0.4612138362,-0.0362610055,-0.0592882943,0.8845630757
1690539802447759282,0.9575098599,-0.7257286424,0.9483821229,0.4579057177,-0.0220729159,-0.0666022755,0.8862275537
1690539802457531136,0.9616430006,-0.7285124346,0.9486663564,0.4591622990,-0.0390782293,-0.0585060068,0.8855619246
1690539802467384386,0.9653562761,-0.7289788476,0.9492516228,0.4745584044,-0.0383009703,-0.0591247124,0.8774004929
1690539802477705459,0.9691449273,-0.7312421027,0.9498897212,0.4768594804,-0.0346316117,-0.0615478931,0.8761378569
1690539802487833978,0.9731894556,-0.7339520249,0.9505844673,0.4736293874,-0.0396909758,-0.0594000498,0.8778220001
1690539802497701575,0.9768356878,-0.7355123431,0.9509749077,0.4821068304,-0.0347660180,-0.0644668312,0.8730454489
1690539802507693070,0.9809514865,-0.7383421183,0.9515159373,0.4800513424,-0.0408506257,-0.0606777114,0.8741854210
1690539802517716890,0.9850023386,-0.7411494698,0.9518588028,0.4800118389,-0.0435950438,-0.0605322270,0.8740846390
1690539802527720089,0.9890606431,-0.7436001640,0.9519027286,0.4823969161,-0.0480021982,-0.0596098112,0.8726028161
1690539802537719041,0.9926747069,-0.7451178650,0.9523009608,0.4977196110,-0.0357711202,-0.0667714990,0.8640238323
1690539802547715697,0.9965680382,-0.7481049176,0.9527036131,0.4952067132,-0.0251540996,-0.0743155570,0.8652252773
1690539802557848961,1.0009327717,-0.7511649875,0.9525702562,0.4958914308,-0.0402403361,-0.0661062707,0.8649291099
1690539802567458458,1.0051626022,-0.7543676051,0.9525435574,0.4969479919,-0.0481902314,-0.0609389446,0.8642955744
1690539802577768571,1.0091995083,-0.7568171290,0.9522472254,0.5022812685,-0.0440896011,-0.0654333854,0.8610970366
1690539802587782243,1.0134119369,-0.7596655666,0.9520174689,0.5036444217,-0.0420286397,-0.0673021553,0.8602594433
1690539802597840615,1.0177937044,-0.7626648383,0.9515902282,0.5083533818,-0.0446022796,-0.0662160790,0.8574397394
1690539802607618007,1.0221411480,-0.7647830226,0.9509273990,0.5197637568,-0.0445693154,-0.0664219478,0.8505570752
1690539802617812740,1.0267148732,-0.7688311912,0.9508003663,0.5071510288,-0.0322589594,-0.0743940967,0.8580342137
1690539802627863765,1.0314466399,-0.7715418740,0.9498423166,0.5142663930,-0.0424243937,-0.0677403246,0.8538978254
1690539802637699143,1.0361630803,-0.7746794948,0.9490633242,0.5161957072,-0.0425203383,-0.0671768593,0.8527727026
