#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539469462694983,1.2236089862,-0.4396559017,0.0940484641,-0.4657277398,0.0312541188,-0.0293512448,0.8838887695
1690539469473128364,1.2235627578,-0.4395245766,0.0939126169,-0.4642154729,0.0266295352,-0.0315648789,0.8847590186
1690539469482818855,1.2236162685,-0.4396470338,0.0940554198,-0.4661736616,0.0312951103,-0.0295563146,0.8836453800
1690539469493169958,1.2235928181,-0.4396636136,0.0940646463,-0.4657321879,0.0310949872,-0.0291128242,0.8838999233
1690539469502971686,1.2236195121,-0.4396389959,0.0940410436,-0.4661849127,0.0316738059,-0.0290584932,0.8836424623
1690539469513138055,1.2236050088,-0.4396482586,0.0940452178,-0.4661224709,0.0313761325,-0.0290099174,0.8836876174
1690539469522847539,1.2235970563,-0.4396641320,0.0940632359,-0.4658823583,0.0310764815,-0.0291900633,0.8838188846
1690539469533079551,1.2236095688,-0.4396531302,0.0940604270,-0.4658977236,0.0312140735,-0.0290278514,0.8838112789
1690539469542891180,1.2236086758,-0.4396627361,0.0940604022,-0.4657509088,0.0312785325,-0.0288716620,0.8838914931
1690539469553033812,1.2236018120,-0.4396570962,0.0940496038,-0.4657954459,0.0314507489,-0.0293344549,0.8838466738
1690539469563117965,1.2236146834,-0.4396591078,0.0940551801,-0.4659895609,0.0311759666,-0.0295808374,0.8837458697
1690539469573145192,1.2235953362,-0.4396708535,0.0940474681,-0.4656108908,0.0312550923,-0.0292295555,0.8839543261
1690539469582812767,1.2236059680,-0.4396458193,0.0940577371,-0.4660430893,0.0315137846,-0.0290095888,0.8837245974
1690539469593176586,1.2236125123,-0.4396588339,0.0940512252,-0.4658039268,0.0315770419,-0.0288265606,0.8838544120
1690539469603190117,1.2236156345,-0.4396461185,0.0940554104,-0.4660743944,0.0317752063,-0.0284552974,0.8837167483
1690539469612802622,1.2236091802,-0.4396660781,0.0940690711,-0.4657618285,0.0310735276,-0.0294840573,0.8838727541
1690539469623106557,1.2235962356,-0.4396602385,0.0940397002,-0.4658343560,0.0312482193,-0.0292484134,0.8838362019
1690539469633160373,1.2236063518,-0.4396500191,0.0940427458,-0.4660075818,0.0312718271,-0.0294456944,0.8837374936
1690539469643006867,1.2235992319,-0.4396485454,0.0940420572,-0.4659360747,0.0314175093,-0.0290987579,0.8837815209
1690539469652947341,1.2236079329,-0.4396599551,0.0940492615,-0.4658777284,0.0312385596,-0.0295789307,0.8838026824
1690539469662904688,1.2236090385,-0.4396512228,0.0940540752,-0.4657518113,0.0313587390,-0.0287414925,0.8838924179
1690539469673007759,1.2236057034,-0.4396593860,0.0940520916,-0.4660528150,0.0313122119,-0.0294037511,0.8837136066
1690539469683174233,1.2236189736,-0.4396579115,0.0940529667,-0.4659613307,0.0316572699,-0.0287246395,0.8837718883
1690539469693041808,1.2236164689,-0.4396691183,0.0940510321,-0.4656934471,0.0312410224,-0.0291554329,0.8839137812
1690539469703232950,1.2236049369,-0.4396704297,0.0940419534,-0.4655955585,0.0313022586,-0.0291679128,0.8839627692
1690539469713028205,1.2236160395,-0.4396520497,0.0940613629,-0.4658710745,0.0313473803,-0.0288896051,0.8838251379
1690539469723589119,1.2236031645,-0.4396593621,0.0940441527,-0.4659742022,0.0314901844,-0.0290734301,0.8837596658
1690539469732967157,1.2236009860,-0.4396689619,0.0940488833,-0.4657240861,0.0311818933,-0.0295211989,0.8838875856
1690539469742966737,1.2236082063,-0.4396488601,0.0940443034,-0.4659622416,0.0314464692,-0.0289001306,0.8837732127
1690539469753143122,1.2236151261,-0.4396436003,0.0940481742,-0.4659795881,0.0318303333,-0.0289112905,0.8837499593
1690539469763016449,1.2236017035,-0.4396467937,0.0940504309,-0.4659148018,0.0314545074,-0.0286438337,0.8838062809
1690539469772902401,1.2236053229,-0.4396589091,0.0940400612,-0.4658856287,0.0312586041,-0.0294451385,0.8838022768
1690539469782965790,1.2236058745,-0.4396562458,0.0940571324,-0.4658936889,0.0313855568,-0.0287956161,0.8838149297
1690539469793198951,1.2236236966,-0.4396581735,0.0940472643,-0.4657396807,0.0311720503,-0.0293264363,0.8838861992
1690539469803269790,1.2236062278,-0.4396569319,0.0940668587,-0.4657308512,0.0312103944,-0.0291638102,0.8838948793
1690539469813104124,1.2236208439,-0.4396336234,0.0940466915,-0.4662129837,0.0315762122,-0.0289983910,0.8836331196
1690539469823372583,1.2235910867,-0.4396518523,0.0940447245,-0.4658459382,0.0312729989,-0.0292970434,0.8838276103
1690539469833322708,1.2236115348,-0.4396433497,0.0940582807,-0.4659260368,0.0313637033,-0.0291128520,0.8837882598
