#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539579953944511,0.9710238091,-0.1629633629,0.2840325910,0.5083022061,-0.1429785390,0.0625358606,-0.8469210535
1690539579964719189,0.9710949023,-0.1629279932,0.2839690197,0.5080895860,-0.1431653719,0.0622390876,-0.8470389276
1690539579973927777,0.9711786529,-0.1627073317,0.2836990816,0.5094225950,-0.1430612104,0.0652894005,-0.8460256521
1690539579984071686,0.9712282111,-0.1626934878,0.2836490795,0.5091585341,-0.1431666880,0.0653735687,-0.8461602585
1690539579994152094,0.9712527926,-0.1627665729,0.2836467356,0.5087671960,-0.1447167904,0.0631967464,-0.8462973249
1690539580004061458,0.9712646520,-0.1627497414,0.2835832143,0.5085339219,-0.1441436424,0.0631336536,-0.8465400182
1690539580014075681,0.9713122249,-0.1627293559,0.2835125608,0.5086213458,-0.1440814885,0.0630167412,-0.8465067877
1690539580024196475,0.9714096828,-0.1626010406,0.2833876519,0.5091212064,-0.1428289780,0.0644683443,-0.8463092300
1690539580034208312,0.9715039282,-0.1625443130,0.2832986076,0.5093119021,-0.1423256750,0.0642042179,-0.8462993602
1690539580044199450,0.9716650968,-0.1625436741,0.2832750087,0.5096920318,-0.1455258078,0.0626131632,-0.8456452352
1690539580054235680,0.9717570174,-0.1624874993,0.2831779977,0.5095208988,-0.1457465663,0.0624210309,-0.8457245456
1690539580064200812,0.9717710614,-0.1625651274,0.2832563127,0.5076347985,-0.1427648943,0.0611033293,-0.8474617864
1690539580073864111,0.9718732862,-0.1625173284,0.2831747480,0.5073220451,-0.1428801062,0.0612463603,-0.8476193138
1690539580083884430,0.9719659699,-0.1624629424,0.2830799127,0.5069267338,-0.1429743055,0.0618691500,-0.8477946938
1690539580094222894,0.9720846334,-0.1622507864,0.2827976961,0.5084264620,-0.1434091308,0.0645673088,-0.8466211766
1690539580104107612,0.9721716539,-0.1621865964,0.2827002085,0.5084136692,-0.1438826696,0.0646936289,-0.8465388667
1690539580114299419,0.9722695651,-0.1621254419,0.2826279959,0.5083810804,-0.1436227127,0.0649304537,-0.8465844492
