#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540642716152906,0.0180278476,0.0020549947,0.0025577950,0.9968922734,-0.0145845348,-0.0491305292,-0.0598270744
1690540642749510527,0.0198034737,0.0014368624,0.0031757301,0.9969175458,-0.0123054627,-0.0474127270,-0.0612869747
1690540642782867908,0.0208883416,0.0005074543,0.0038621041,0.9969590902,-0.0098138042,-0.0451190881,-0.0627740175
1690540642816225529,0.0219264254,-0.0005534637,0.0037910393,0.9970427752,-0.0071924534,-0.0423108339,-0.0637479424
1690540642849582911,0.0238204543,-0.0013863579,0.0042950469,0.9971392155,-0.0037960876,-0.0395775698,-0.0642856210
1690540642882940769,0.0249282382,-0.0024052653,0.0049156686,0.9971957207,-0.0007556036,-0.0360762812,-0.0655640438
1690540642916298151,0.0261082519,-0.0033384867,0.0055721281,0.9973192811,0.0026483652,-0.0324062482,-0.0655523986
1690540642949655771,0.0273508877,-0.0045387717,0.0057959859,0.9974324107,0.0065794471,-0.0282720979,-0.0654674768
1690540642983013391,0.0282427762,-0.0058923443,0.0061238492,0.9974929094,0.0111570591,-0.0243007764,-0.0655209571
1690540643016370773,0.0292878803,-0.0070143430,0.0061446517,0.9974912405,0.0161703471,-0.0204539336,-0.0658128783
1690540643049728155,0.0307663437,-0.0082376329,0.0061924406,0.9974930286,0.0203566458,-0.0163155012,-0.0657812208
1690540643083086014,0.0334842242,-0.0101185264,0.0065828757,0.9974416494,0.0234927256,-0.0128833810,-0.0662737936
1690540643116443396,0.0347801372,-0.0120945126,0.0067539848,0.9974016547,0.0270321425,-0.0083650434,-0.0662516803
1690540643149801016,0.0360323712,-0.0131639773,0.0072662346,0.9973154664,0.0319508538,-0.0038033943,-0.0657764897
1690540643183158398,0.0376308300,-0.0142554501,0.0079864115,0.9972341061,0.0373024568,0.0003544317,-0.0642851368
1690540643216516018,0.0373474807,-0.0157858394,0.0066120797,0.9969918728,0.0416584499,0.0061186533,-0.0650720298
1690540643249873638,0.0384298488,-0.0171813294,0.0064643789,0.9967473745,0.0457639210,0.0108853159,-0.0654357895
1690540643283231258,0.0396094099,-0.0187019613,0.0063592629,0.9965096712,0.0497874878,0.0153788738,-0.0652168617
1690540643316588640,0.0407209247,-0.0199998859,0.0067576952,0.9962002635,0.0534263775,0.0200059805,-0.0658065528
1690540643349946260,0.0397850759,-0.0204805434,0.0063968822,0.9958942533,0.0568345189,0.0258269478,-0.0655549690
1690540643383303642,0.0417826846,-0.0211414099,0.0065682121,0.9956180453,0.0595710836,0.0305330399,-0.0652973652
1690540643416661263,0.0421331003,-0.0231717043,0.0059855781,0.9952808619,0.0610286072,0.0365796797,-0.0659805015
1690540643450018883,0.0429787338,-0.0251688268,0.0067614685,0.9948709607,0.0640653148,0.0425507575,-0.0657029077
1690540643483376503,0.0427024513,-0.0256871022,0.0062338617,0.9943660498,0.0687300935,0.0471329615,-0.0655041859
1690540643516733885,0.0432578065,-0.0264782440,0.0051247608,0.9937379360,0.0721038058,0.0519842952,-0.0677028075
1690540643550091505,0.0441615656,-0.0279103778,0.0040614642,0.9934300780,0.0724975541,0.0563931055,-0.0682690069
1690540643583448887,0.0449796878,-0.0286887698,0.0050191740,0.9930986762,0.0725399926,0.0613364652,-0.0687809214
1690540643616806507,0.0443757623,-0.0269634165,0.0069577610,0.9926885366,0.0754254535,0.0664107278,-0.0668591782
1690540643650168419,0.0447740816,-0.0285630375,0.0069023683,0.9922142625,0.0776783451,0.0711050928,-0.0664911792
1690540643683530569,0.0449682809,-0.0290079266,0.0075110858,0.9915811419,0.0818889961,0.0757742673,-0.0657216460
1690540643716892719,0.0460994840,-0.0307764541,0.0076791313,0.9909588695,0.0863654017,0.0795518756,-0.0649082810
