#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539469481329918,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690539469514697313,0.0000194864,0.0000131013,-0.0000124680,1.0000000000,0.0000043277,0.0000064601,-0.0000184699
1690539469548064709,0.0000213574,-0.0000029418,-0.0000422718,1.0000000000,-0.0000101335,0.0000095562,0.0000304242
1690539469581431866,0.0000112298,-0.0000164965,0.0000152887,1.0000000000,0.0000081457,0.0000025883,-0.0000057941
1690539469614799023,-0.0000235687,-0.0000178235,-0.0000791792,1.0000000000,-0.0000432597,-0.0000046726,-0.0001115704
1690539469648165941,0.0000208029,0.0000308879,0.0001318814,1.0000000000,-0.0000010945,-0.0000375947,-0.0000841502
1690539469681532860,-0.0000153152,0.0000304560,0.0000487731,1.0000000000,0.0000296756,-0.0000151453,0.0000823538
1690539469714900017,-0.0000127407,0.0000044874,-0.0000312835,1.0000000000,0.0000149780,0.0000095335,-0.0000652346
1690539469748266935,-0.0000391176,0.0000524967,0.0000357631,1.0000000000,0.0000275352,-0.0000039402,0.0000726887
1690539469781633615,-0.0000291699,-0.0000362699,-0.0000564143,1.0000000000,-0.0000046487,0.0000032458,-0.0000728832
1690539469815000534,0.0000057546,-0.0000130109,0.0000248574,1.0000000000,0.0000059841,-0.0000374793,-0.0000090729
1690539469848369360,0.0000298692,-0.0000081674,-0.0000451490,1.0000000000,-0.0000318590,0.0000257326,-0.0000240970
1690539469881738424,-0.0000195137,0.0000288928,0.0001283317,1.0000000000,-0.0000096077,-0.0000200482,-0.0000553966
1690539469915107489,0.0000659951,-0.0000208180,-0.0000062366,1.0000000000,-0.0000373900,-0.0000772896,0.0000204407
1690539469948476076,0.0000527526,0.0000059097,-0.0000330122,1.0000000000,-0.0000227805,-0.0000308202,-0.0000584556
1690539469981844902,0.0000389280,0.0000037944,0.0000526870,1.0000000000,0.0000179260,-0.0000478760,0.0000483393
1690539470015213728,0.0000529313,0.0000086728,-0.0000878495,1.0000000000,0.0000311542,-0.0000297937,0.0000960329
1690539470048582315,0.0000993594,-0.0000238385,-0.0002314607,1.0000000000,-0.0000270759,-0.0000831732,0.0000588301
1690539470081950665,-0.0000349388,0.0000270110,0.0001715527,1.0000000000,0.0000123250,0.0000287328,-0.0000592399
1690539470115319252,0.0000366788,-0.0000038273,-0.0000016354,1.0000000000,0.0000112385,-0.0000012686,-0.0000319701
1690539470148687840,0.0000371493,0.0000206030,0.0000848216,1.0000000000,-0.0000134535,-0.0000047456,-0.0002369057
1690539470182056189,0.0000756701,0.0000217825,0.0000224445,1.0000000000,0.0000135782,-0.0000720367,0.0000827908
1690539470215424299,0.0000154886,-0.0000425681,-0.0000866095,1.0000000000,-0.0000348569,-0.0000256639,0.0000436325
1690539470248792410,-0.0000127528,0.0000279266,-0.0000023279,1.0000000000,0.0000214982,-0.0000205571,0.0000655818
1690539470282160759,0.0000935205,0.0000324321,0.0000540068,1.0000000000,0.0000553371,-0.0000837117,0.0001769721
1690539470315528870,0.0000870652,0.0000040101,0.0000589942,1.0000000000,0.0000046048,-0.0000595358,0.0001565487
1690539470348896742,0.0000612419,-0.0000015770,0.0000450948,1.0000000000,-0.0000026632,-0.0000654854,0.0001638009
1690539470382264614,0.0000784722,0.0000574802,0.0001421202,1.0000000000,0.0000294043,-0.0000484825,-0.0000146321
1690539470415632486,0.0000080310,-0.0000004716,-0.0000690653,1.0000000000,0.0000112131,0.0000143781,0.0001308864
1690539470449000597,-0.0000084137,0.0000100029,-0.0000110662,1.0000000000,-0.0000035422,0.0000250892,0.0001482915
1690539470482368231,0.0000532617,0.0000077396,0.0000213257,1.0000000000,-0.0000214069,-0.0001158371,0.0000578268
1690539470515735865,0.0000948705,0.0000323148,0.0001829312,1.0000000000,0.0000366434,-0.0000717238,0.0000984006
1690539470549103260,-0.0000094974,0.0000411224,0.0000913063,1.0000000000,0.0000386380,-0.0000489183,-0.0000233566
1690539470582470894,0.0000723649,-0.0000203169,0.0000039678,1.0000000000,0.0000038029,-0.0000312775,-0.0000181309
1690539470615838289,0.0000388884,-0.0000102463,-0.0000830092,1.0000000000,0.0000137128,-0.0000298294,0.0000156991
1690539470649205923,0.0000047125,-0.0000228155,0.0000127619,1.0000000000,-0.0000106076,0.0000093807,-0.0000742083
1690539470682573080,-0.0000377170,-0.0000937271,-0.0000921524,1.0000000000,-0.0000705719,0.0000089644,-0.0000992442
1690539470715940237,0.0000530475,0.0000311312,0.0001497765,1.0000000000,0.0000391457,0.0000039977,0.0002080917
1690539470749307394,0.0000548521,0.0000007234,-0.0000030062,1.0000000000,0.0000073195,-0.0000711830,0.0000765000
1690539470782674551,0.0000220115,-0.0000337911,-0.0000277184,1.0000000000,-0.0000405333,-0.0000149028,0.0000408554
1690539470816041708,0.0000049617,-0.0000186144,-0.0000535710,1.0000000000,-0.0000114617,0.0000115132,0.0000703171
1690539470849409819,0.0000357692,-0.0000481555,-0.0001017699,1.0000000000,-0.0000447073,0.0000052613,0.0000535227
1690539470882777929,0.0000073625,-0.0000159878,0.0000467454,1.0000000000,-0.0000059437,-0.0000347255,0.0000916381
1690539470916145563,0.0000256574,-0.0000423275,-0.0000939818,1.0000000000,-0.0000128985,-0.0000341873,0.0000630288
1690539470949513435,-0.0000446142,-0.0000365792,-0.0000684750,1.0000000000,-0.0000413759,-0.0000031788,-0.0001355617
1690539470982881069,0.0000092621,0.0000555807,0.0000508285,1.0000000000,0.0000214074,-0.0000760064,0.0001529779
1690539471016248703,0.0000737870,-0.0000006556,0.0001157321,1.0000000000,-0.0000086984,-0.0001054192,0.0000464883
1690539471049616337,0.0000528432,0.0000255787,0.0000305760,1.0000000000,0.0000062289,-0.0000202234,0.0000607476
1690539471082983971,0.0000782858,-0.0000073017,-0.0001805273,1.0000000000,-0.0000051856,-0.0000782887,0.0001006149
1690539471116351366,0.0000250920,0.0000157258,0.0000267089,1.0000000000,-0.0000133833,-0.0000464726,0.0000391765
1690539471149718761,0.0000434532,-0.0000174113,0.0000988945,1.0000000000,-0.0000500902,-0.0000475277,-0.0001471811
1690539471183085918,-0.0000136847,0.0000191105,-0.0000054677,1.0000000000,0.0000230633,-0.0000003253,0.0001010103
1690539471216453314,-0.0000534757,-0.0000388548,-0.0000077940,1.0000000000,-0.0000379997,-0.0000323541,-0.0000791356
1690539471249820471,-0.0000202732,-0.0000257518,-0.0000561214,1.0000000000,-0.0000171344,-0.0000312933,-0.0000513880
1690539471283187628,0.0000039484,0.0000183108,0.0000658194,1.0000000000,0.0000162250,-0.0000060343,0.0000857844
1690539471316554785,0.0000917999,0.0000511593,0.0000400992,1.0000000000,0.0000446476,-0.0000945757,0.0000719086
1690539471349921703,0.0000553211,-0.0000152935,0.0000432011,1.0000000000,-0.0000119437,0.0000025153,0.0000453032
1690539471383288622,0.0000112680,0.0000130280,0.0000431956,1.0000000000,0.0000029745,-0.0000397848,0.0001283558
1690539471416655540,0.0000133787,-0.0000215664,-0.0001303553,1.0000000000,-0.0000186284,-0.0000151214,0.0000348835
1690539471450022221,0.0000167635,-0.0000139451,0.0000814662,1.0000000000,-0.0000006066,-0.0000268072,0.0000401812
1690539471483388901,0.0000445611,0.0000406727,0.0001352522,1.0000000000,0.0000019347,-0.0000301533,0.0000549327
1690539471516755581,0.0000506312,-0.0000236908,-0.0000112481,1.0000000000,-0.0000111975,-0.0000277203,-0.0000631111
1690539471550122261,0.0000560880,-0.0000064496,0.0001253315,1.0000000000,0.0000004213,-0.0000436033,0.0000380931
1690539471583488703,0.0000226130,-0.0000115858,0.0000046130,1.0000000000,0.0000031536,-0.0000070745,-0.0000031881
1690539471616855145,0.0000591661,-0.0000184721,-0.0000284572,1.0000000000,-0.0000134037,-0.0000455137,-0.0000080958
1690539471650221586,0.0000436720,0.0000123972,0.0001575377,1.0000000000,0.0000104563,-0.0000441194,-0.0000781966
1690539471683587790,0.0000074795,-0.0000440449,-0.0000286403,1.0000000000,-0.0000298916,0.0000191254,-0.0000762916
1690539471716953993,-0.0000428895,-0.0001004121,-0.0000931844,1.0000000000,-0.0000675315,0.0000073734,-0.0001472448
1690539471750320196,-0.0000168766,0.0000000592,-0.0000159134,1.0000000000,-0.0000070439,-0.0000099963,0.0000268668
1690539471783686638,-0.0000887416,0.0000123338,0.0000428037,1.0000000000,-0.0000037620,0.0000924948,-0.0001113226
1690539471817052841,-0.0000217864,-0.0000364922,-0.0001525436,1.0000000000,-0.0000268830,0.0000139862,-0.0000311977
1690539471850420713,0.0000337948,0.0000137809,-0.0000932594,1.0000000000,0.0000370079,-0.0000502317,0.0001400684
1690539471883788347,-0.0000071922,-0.0000628420,0.0000067681,1.0000000000,-0.0000535308,-0.0000047856,-0.0001695917
1690539471917155981,0.0000141247,-0.0000309234,-0.0001565643,1.0000000000,-0.0000237120,-0.0000172114,-0.0002371906
1690539471950523615,0.0000354137,-0.0000398204,0.0000372208,1.0000000000,-0.0000107081,-0.0000052578,-0.0000103491
1690539471983891249,0.0000124013,0.0000008308,0.0000725449,1.0000000000,-0.0000090457,0.0000167548,0.0000486785
1690539472017258883,0.0001367822,0.0000473676,0.0001498995,1.0000000000,0.0000139791,-0.0000650393,0.0000386770
1690539472050626516,-0.0000866561,-0.0000785942,-0.0000659468,1.0000000000,-0.0000168386,0.0000533296,0.0000191108
1690539472083993912,-0.0000129980,-0.0000670695,0.0000287722,1.0000000000,-0.0000431478,0.0000073696,0.0001060014
1690539472117361069,0.0000187353,-0.0000465296,-0.0000385568,1.0000000000,-0.0000305533,0.0000024246,-0.0000643318
1690539472150728464,0.0001092751,-0.0000315286,0.0000018266,1.0000000000,-0.0000084796,-0.0000326276,0.0000645080
1690539472184095621,0.0000145092,-0.0000556228,-0.0000549758,1.0000000000,-0.0000269761,-0.0000183252,-0.0000630359
1690539472217462778,-0.0000324871,-0.0000067565,-0.0000439330,1.0000000000,-0.0000102076,0.0000446248,-0.0000773273
1690539472250830173,0.0000820789,0.0000871352,-0.0000650682,0.9999999404,0.0000174307,-0.0001795110,0.0002455052
1690539472284197092,-0.0000175810,0.0000197332,-0.0000453127,0.9999999404,-0.0004040916,-0.0001393694,0.0000723726
1690539472317564011,0.0000470233,-0.0002312536,0.0001357692,1.0000000000,-0.0002174128,-0.0000474980,0.0001239823
1690539472350930929,-0.0000035451,0.0001252850,0.0002021393,1.0000000000,0.0001369519,0.0000749776,-0.0001547298
1690539472384297848,0.0000895582,-0.0001168401,-0.0000108918,1.0000000000,-0.0002608446,-0.0000749253,0.0000292579
1690539472417664528,-0.0001652731,-0.0001758391,-0.0001284882,0.9999998212,0.0000223656,0.0001343076,-0.0006446371
1690539472451031446,-0.0000483648,0.0000540870,0.0004518640,0.9999997616,0.0003009828,0.0002302292,-0.0005863447
1690539472484398127,-0.0000920580,0.0001429120,0.0001280088,0.9999999404,0.0001873727,0.0001910717,-0.0001514980
1690539472517764568,0.0000251234,-0.0000611978,-0.0001408091,1.0000000000,-0.0001474804,-0.0000759395,0.0001767646
