#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539579975507021,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690539580008866072,0.0001543785,0.0001096237,0.0004745209,0.9999997020,-0.0001200959,0.0003098399,-0.0006961887
1690539580042224646,0.0003460051,0.0001423442,-0.0003029068,0.9999987483,-0.0005681493,0.0008489740,-0.0012280081
1690539580075583220,0.0003543411,0.0002505133,0.0012088629,0.9999981523,-0.0010390636,0.0013371428,-0.0009067181
1690539580108942032,0.0006980990,0.0001146564,0.0012897674,0.9999982715,-0.0010871975,0.0015000781,-0.0000189509
1690539580142300844,0.0007871764,-0.0000195118,0.0014924331,0.9999973774,-0.0010752495,0.0016852737,0.0010951641
1690539580175659418,0.0009958178,-0.0001606053,0.0019294865,0.9999969602,-0.0007734505,0.0015394406,0.0017624786
1690539580209015131,0.0008960700,0.0000341268,0.0023022878,0.9999962449,-0.0001102593,0.0013460683,0.0024015962
1690539580242371082,0.0012165183,-0.0000278739,0.0019229683,0.9999942780,0.0003713674,0.0004493188,0.0033445677
1690539580275726795,0.0011491640,0.0003200817,0.0019311559,0.9999948144,0.0004249962,0.0004466800,0.0031628122
1690539580309082508,0.0010619087,0.0002309021,0.0021462583,0.9999933839,-0.0002366923,0.0003254025,0.0036196855
1690539580342438221,0.0011587013,0.0003228861,0.0017697215,0.9999942183,-0.0004239675,0.0002262391,0.0033646217
1690539580375793934,0.0005615617,0.0009488592,0.0019322496,0.9999971986,-0.0010468643,0.0007922859,0.0019555283
1690539580409149885,0.0008656980,0.0014572778,0.0023251097,0.9999939203,-0.0021898411,0.0006452281,0.0026431889
1690539580442505598,0.0007863226,0.0008687701,0.0023895220,0.9999927282,-0.0025899804,0.0004491801,0.0027626739
1690539580475861311,0.0009437980,0.0016056215,0.0024155483,0.9999948740,-0.0019881299,0.0001715442,0.0025206020
1690539580509217262,0.0007062253,0.0021117767,0.0021700333,0.9999936819,-0.0026176514,0.0004324735,0.0023852147
1690539580542572975,0.0004891154,0.0019275672,0.0035563046,0.9999913573,-0.0035186210,0.0006089766,0.0021321943
1690539580575928688,0.0003542588,0.0017180645,0.0031950625,0.9999933839,-0.0032433884,0.0008075276,0.0014249299
1690539580609284639,0.0006490133,0.0022514954,0.0031847258,0.9999943376,-0.0028861423,0.0008222982,0.0015255224
1690539580642640352,0.0012330370,0.0027489539,0.0036929403,0.9999927878,-0.0033018254,0.0010936110,0.0015493185
1690539580675996304,0.0009962508,0.0028522299,0.0043168976,0.9999905229,-0.0039424463,0.0015659898,0.0009864820
1690539580709352016,0.0014836341,0.0032831852,0.0049418593,0.9999899864,-0.0041455897,0.0016062736,0.0005698896
1690539580742707968,0.0017155556,0.0035293123,0.0043789721,0.9999862313,-0.0047225789,0.0023042932,-0.0000394340
1690539580776063681,0.0021280851,0.0041148979,0.0052625295,0.9999774098,-0.0059256325,0.0031504286,-0.0003507859
1690539580809419632,0.0022411053,0.0040852232,0.0052689095,0.9999690652,-0.0069468073,0.0036968517,-0.0000145085
1690539580842775345,0.0023973542,0.0042778631,0.0052741449,0.9999694824,-0.0068214834,0.0037889003,-0.0003316277
1690539580876131296,0.0014606240,0.0041210856,0.0052190754,0.9999558330,-0.0080483621,0.0046641086,-0.0013513984
1690539580909487247,0.0014227752,0.0042885267,0.0054594241,0.9999442697,-0.0092013516,0.0048280936,-0.0018753969
1690539580942842960,0.0011903851,0.0044382764,0.0050667808,0.9999378324,-0.0098308539,0.0048671020,-0.0019993957
1690539580976198912,0.0011547481,0.0046482021,0.0050488818,0.9999372959,-0.0102196047,0.0044355262,-0.0011748996
1690539581009554863,0.0009544250,0.0052059074,0.0053691417,0.9999414086,-0.0100946855,0.0038680085,-0.0005746072
1690539581042910814,0.0007541611,0.0053513851,0.0053430372,0.9999389052,-0.0105080493,0.0034017581,-0.0005013450
1690539581076266527,0.0006581359,0.0053361780,0.0051453658,0.9999418259,-0.0104061067,0.0028224818,0.0002295835
1690539581109622478,0.0005323117,0.0055662156,0.0054260707,0.9999488592,-0.0098407837,0.0023225427,0.0002660347
1690539581142978430,0.0003309672,0.0057596215,0.0054671261,0.9999500513,-0.0096890759,0.0024550485,0.0002023987
1690539581176334381,0.0008335160,0.0057330765,0.0056609199,0.9999477267,-0.0099287070,0.0024335803,0.0003548769
1690539581209689140,0.0007455040,0.0057896189,0.0062167975,0.9999452829,-0.0099341171,0.0032744824,0.0001396687
1690539581243043900,0.0009267816,0.0057889689,0.0059644394,0.9999459982,-0.0096560763,0.0038234857,0.0004916227
1690539581276398897,0.0010924577,0.0055596614,0.0060996679,0.9999448061,-0.0096047167,0.0042099524,0.0006878315
1690539581309753656,0.0010708467,0.0056455806,0.0066604428,0.9999480844,-0.0092307925,0.0042225262,0.0008932911
1690539581343108416,0.0009929511,0.0057759536,0.0067597306,0.9999533296,-0.0086421380,0.0041984632,0.0009922616
