#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540638879985332,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690540638913342476,0.0004261768,-0.0000479659,0.0002244488,0.9999988079,-0.0009090931,-0.0009135577,-0.0008944410
1690540638946699858,0.0011873386,-0.0006724312,0.0004399753,0.9999973178,-0.0013787966,-0.0013491095,-0.0012910101
1690540638980057240,0.0013430329,-0.0008489050,0.0010107902,0.9999979138,-0.0009484793,-0.0010323243,-0.0015000883
1690540639013414383,0.0011051889,-0.0000952623,0.0011868339,0.9999979734,-0.0005232823,-0.0008903308,-0.0017292366
1690540639046771526,0.0008041883,-0.0003522982,0.0008690651,0.9999971986,-0.0007411770,-0.0009858911,-0.0020286466
1690540639080128670,0.0004291361,-0.0002200953,0.0011509288,0.9999955297,-0.0009354657,-0.0010955686,-0.0026374690
1690540639113485813,-0.0000656364,-0.0002172245,0.0016840756,0.9999927282,-0.0013077124,-0.0013943908,-0.0033071262
1690540639146842957,-0.0003853815,-0.0000492572,0.0018093883,0.9999896288,-0.0016850559,-0.0016991171,-0.0038834463
1690540639180200100,-0.0013373457,-0.0002736853,0.0020010376,0.9999856949,-0.0023498705,-0.0018153805,-0.0044558770
1690540639213557720,-0.0016891105,-0.0004327837,0.0022562295,0.9999843240,-0.0026157077,-0.0019825038,-0.0045398464
1690540639246914864,-0.0025848742,-0.0002276610,0.0023824172,0.9999813437,-0.0027990181,-0.0020876215,-0.0050184927
1690540639280272007,-0.0029115903,-0.0003112096,0.0018276577,0.9999794364,-0.0029689579,-0.0023623491,-0.0051670638
1690540639313629150,-0.0038051524,-0.0003286116,0.0020049347,0.9999803305,-0.0028645305,-0.0025297827,-0.0049832640
1690540639346986294,-0.0041432907,-0.0002401679,0.0014542356,0.9999830127,-0.0026239038,-0.0030723964,-0.0042140861
1690540639380343437,-0.0050441953,-0.0005790974,0.0008807253,0.9999842644,-0.0024661138,-0.0035473397,-0.0035891915
1690540639413700581,-0.0057186396,-0.0000720761,0.0006711215,0.9999828935,-0.0019851115,-0.0043453327,-0.0033724229
1690540639447058201,-0.0065085529,0.0009552047,-0.0008578685,0.9999774694,-0.0019459098,-0.0053340006,-0.0035895112
1690540639480415344,-0.0074196174,0.0021045816,-0.0025616088,0.9999641180,-0.0031583915,-0.0066838898,-0.0041330932
1690540639513772488,-0.0079591330,0.0018859140,-0.0042248559,0.9999384880,-0.0053398204,-0.0086800605,-0.0043785567
1690540639547129631,-0.0075601693,0.0012505874,-0.0046846624,0.9999092817,-0.0066692103,-0.0109778512,-0.0040586335
1690540639580486774,-0.0070786220,0.0018125247,-0.0049133780,0.9998849034,-0.0067190486,-0.0129642924,-0.0041271937
1690540639613843918,-0.0069625364,0.0013097981,-0.0068306052,0.9998590350,-0.0066450406,-0.0149255628,-0.0038746062
1690540639647202492,-0.0067155827,0.0013682549,-0.0075140460,0.9998314977,-0.0062723220,-0.0168174747,-0.0038593092
1690540639680560827,-0.0062498394,0.0008897158,-0.0086897351,0.9998062253,-0.0058805635,-0.0183851402,-0.0038574722
1690540639713919401,-0.0063604130,0.0005538110,-0.0100123873,0.9997816086,-0.0050709401,-0.0198243875,-0.0042455588
1690540639747277737,-0.0070052068,0.0007139251,-0.0115298834,0.9997478127,-0.0044734394,-0.0213776622,-0.0052302210
1690540639780636311,-0.0072688018,0.0005507238,-0.0117732324,0.9997038841,-0.0044958079,-0.0230938066,-0.0062149740
1690540639813994646,-0.0073757875,0.0006330890,-0.0120181870,0.9996584058,-0.0044289227,-0.0247233063,-0.0072315037
1690540639847353220,-0.0078708865,0.0006838540,-0.0119160023,0.9996205568,-0.0041946266,-0.0260478202,-0.0079219937
1690540639880711555,-0.0078049689,0.0012805267,-0.0124280825,0.9995893836,-0.0040037413,-0.0272131208,-0.0080324179
1690540639914070129,-0.0088225184,0.0014635139,-0.0120786196,0.9995688200,-0.0045218309,-0.0277459100,-0.0084826518
1690540639947428703,-0.0093139159,0.0013828676,-0.0122921411,0.9995299578,-0.0047795633,-0.0289122332,-0.0090070916
1690540639980787039,-0.0098638907,0.0017344358,-0.0124787688,0.9994969964,-0.0048278347,-0.0298832078,-0.0094627189
1690540640014145851,-0.0101284496,0.0015559924,-0.0127411541,0.9994851947,-0.0048431740,-0.0303715337,-0.0091383094
1690540640047504187,-0.0099248393,0.0021882982,-0.0124062495,0.9994771481,-0.0041261371,-0.0310091879,-0.0081751915
1690540640080862761,-0.0108416546,0.0026464616,-0.0118670501,0.9994882941,-0.0035446463,-0.0308446679,-0.0076995250
1690540640114221334,-0.0110297902,0.0033048880,-0.0113861831,0.9994955659,-0.0029895077,-0.0309267808,-0.0065780031
1690540640147579908,-0.0111831557,0.0025471477,-0.0135671059,0.9994929433,-0.0027221336,-0.0311527904,-0.0059963255
1690540640180938482,-0.0124795185,0.0031451390,-0.0125620905,0.9994883537,-0.0020972274,-0.0314483121,-0.0054494310
1690540640214297056,-0.0138518484,0.0050667063,-0.0112673612,0.9994801879,-0.0011906960,-0.0319358706,-0.0042478573
1690540640247655869,-0.0149670057,0.0050824950,-0.0126970531,0.9994644523,-0.0006880641,-0.0325799696,-0.0029914049
1690540640281014204,-0.0160462167,0.0056767836,-0.0139349354,0.9994366169,-0.0004566468,-0.0335156247,-0.0017180897
1690540640314372778,-0.0178810414,0.0058086384,-0.0147666307,0.9994043708,-0.0003838503,-0.0344990008,-0.0007607302
1690540640347731352,-0.0196741428,0.0058450336,-0.0156594608,0.9993695617,-0.0000926788,-0.0355029553,-0.0000538492
1690540640381090164,-0.0212424435,0.0076448899,-0.0175258890,0.9993359447,0.0004021146,-0.0364358500,0.0001877954
1690540640414448738,-0.0242584758,0.0100689577,-0.0169768073,0.9993128181,-0.0001173468,-0.0370658487,0.0001862112
1690540640447807312,-0.0274400581,0.0116368346,-0.0195083916,0.9992906451,-0.0020259374,-0.0376032777,0.0003561142
1690540640481166124,-0.0290106330,0.0111969747,-0.0205048621,0.9992426634,-0.0045415023,-0.0386403091,0.0006174025
1690540640514524698,-0.0302096661,0.0111756846,-0.0213202145,0.9991943240,-0.0058272644,-0.0396507941,0.0021463619
1690540640547883511,-0.0314661786,0.0130526200,-0.0220054574,0.9991563559,-0.0060142940,-0.0404470600,0.0037987411
1690540640581242085,-0.0329164974,0.0140519561,-0.0232080445,0.9991252422,-0.0070026405,-0.0409282446,0.0049642636
1690540640614600897,-0.0362630337,0.0167853255,-0.0231921785,0.9990981221,-0.0074577476,-0.0413740575,0.0059625306
1690540640647958994,-0.0370754823,0.0184328426,-0.0250317287,0.9990431666,-0.0078197513,-0.0425958969,0.0060982555
1690540640681316853,-0.0384707972,0.0201370306,-0.0260685682,0.9990014434,-0.0091709653,-0.0434054285,0.0052841390
1690540640714674950,-0.0390868746,0.0206402130,-0.0273974836,0.9989396334,-0.0111150816,-0.0444096960,0.0048886067
1690540640748033285,-0.0399440937,0.0215596538,-0.0279755965,0.9988712072,-0.0126381209,-0.0456147864,0.0039967638
1690540640781391144,-0.0408715419,0.0229040775,-0.0289076343,0.9988126755,-0.0139388246,-0.0465875939,0.0029332179
1690540640814749241,-0.0417242423,0.0251201522,-0.0288460497,0.9987599254,-0.0159704909,-0.0471285805,0.0015775108
1690540640848107338,-0.0417461954,0.0263921507,-0.0288154855,0.9986569881,-0.0189331770,-0.0482068397,0.0013517009
1690540640881465673,-0.0418509692,0.0266872309,-0.0297250040,0.9985582232,-0.0215250235,-0.0491700210,0.0006916234
1690540640914823532,-0.0417354852,0.0268446170,-0.0306747705,0.9984967113,-0.0227974579,-0.0498458371,0.0000575832
1690540640948181629,-0.0419115275,0.0281156655,-0.0304647852,0.9984620214,-0.0232281126,-0.0503377393,-0.0004647560
1690540640981539726,-0.0418039784,0.0294608474,-0.0309492536,0.9984301329,-0.0238689668,-0.0506694168,-0.0004504720
1690540641014898062,-0.0420855731,0.0309392549,-0.0309508368,0.9983896017,-0.0248617865,-0.0509845652,-0.0008423046
1690540641048256159,-0.0421070792,0.0320494771,-0.0310064424,0.9983440042,-0.0255143102,-0.0515419766,-0.0013285344
1690540641081614256,-0.0419736579,0.0334547274,-0.0314421989,0.9982880354,-0.0264040362,-0.0521392003,-0.0023118390
1690540641114972353,-0.0421474166,0.0357911736,-0.0306872986,0.9982308149,-0.0278923213,-0.0524149649,-0.0031523921
1690540641148330212,-0.0420850106,0.0362042710,-0.0301077981,0.9981313944,-0.0299593210,-0.0530750901,-0.0043861298
1690540641181688547,-0.0414638482,0.0364963636,-0.0304344743,0.9980543256,-0.0312469620,-0.0536546186,-0.0056915805
1690540641215046644,-0.0409252159,0.0380729511,-0.0295501370,0.9980324507,-0.0314310677,-0.0539328940,-0.0058812844
1690540641248404741,-0.0404695906,0.0392065160,-0.0295188706,0.9979854226,-0.0320564173,-0.0544167720,-0.0060326983
1690540641281762838,-0.0393516198,0.0400971435,-0.0297294855,0.9979246259,-0.0326074176,-0.0551477224,-0.0064808447
1690540641315121174,-0.0382199846,0.0410338081,-0.0292098075,0.9978696108,-0.0329864547,-0.0558329672,-0.0071342508
1690540641348479271,-0.0372519530,0.0430006050,-0.0289709158,0.9978148937,-0.0328903198,-0.0567998141,-0.0075816377
1690540641381837368,-0.0359970853,0.0445571579,-0.0294345114,0.9977466464,-0.0334254391,-0.0574291386,-0.0092870817
1690540641415195465,-0.0352191776,0.0459141508,-0.0280279182,0.9976261854,-0.0350568518,-0.0581925623,-0.0112537928
1690540641448553801,-0.0338006504,0.0465861186,-0.0277199820,0.9974697828,-0.0374711268,-0.0592104904,-0.0120024234
1690540641481911898,-0.0325899795,0.0472587235,-0.0273737330,0.9973139763,-0.0393684134,-0.0604478493,-0.0126884058
1690540641515269995,-0.0302171595,0.0476142652,-0.0261388123,0.9971931577,-0.0402479135,-0.0617455542,-0.0131712789
1690540641548628330,-0.0281596966,0.0480635501,-0.0255263634,0.9971036315,-0.0409227237,-0.0626319721,-0.0136704203
1690540641581986666,-0.0265442189,0.0482838452,-0.0235738941,0.9970389009,-0.0415961519,-0.0630268231,-0.0145218661
1690540641615344763,-0.0245780703,0.0478887521,-0.0225675311,0.9970000386,-0.0420309976,-0.0632924214,-0.0147792762
1690540641648702383,-0.0231882166,0.0480307825,-0.0204923153,0.9969917536,-0.0415881835,-0.0634537041,-0.0158615094
1690540641682060242,-0.0209671799,0.0485655069,-0.0213393942,0.9970018268,-0.0409453064,-0.0636666641,-0.0160428230
1690540641715418100,-0.0187831931,0.0480162948,-0.0205864813,0.9969701171,-0.0406856388,-0.0641312599,-0.0168071836
1690540641748776197,-0.0167649705,0.0479496159,-0.0193569101,0.9969640374,-0.0405009799,-0.0643832460,-0.0166498423
1690540641782133818,-0.0157104898,0.0481492877,-0.0173870157,0.9969612360,-0.0400904939,-0.0643975437,-0.0177195724
1690540641815491676,-0.0136104133,0.0474820398,-0.0168356281,0.9969363809,-0.0402473472,-0.0645157322,-0.0183243733
1690540641848849535,-0.0116236564,0.0467226095,-0.0153062707,0.9968953729,-0.0404025875,-0.0648237616,-0.0191094149
