#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540639146842957,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690540639180200100,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690540639213557720,-0.0002757842,-0.0000621040,0.0004194403,0.9999999404,-0.0002618760,-0.0001603776,-0.0001630543
1690540639246914864,-0.0010064857,-0.0000745145,0.0005828246,0.9999997020,-0.0004588787,-0.0003134356,-0.0005758333
1690540639280272007,-0.0018445604,0.0000247712,0.0005922460,0.9999994040,-0.0006021975,-0.0004143479,-0.0008562843
1690540639313629150,-0.0024676565,-0.0002728122,-0.0002273727,0.9999994636,-0.0004942246,-0.0007912035,-0.0004152302
1690540639346986294,-0.0026588512,0.0000353345,-0.0004335109,0.9999991059,-0.0002593554,-0.0012820344,0.0001688538
1690540639380343437,-0.0035964856,-0.0001921492,-0.0005724165,0.9999982715,-0.0000841875,-0.0017280163,0.0007159780
1690540639413700581,-0.0043756068,0.0000580480,-0.0018243326,0.9999964833,0.0003384076,-0.0025018328,0.0008241692
1690540639447058201,-0.0049350681,0.0011368602,-0.0026187187,0.9999933243,0.0004021501,-0.0035435040,0.0007800877
1690540639480415344,-0.0062818355,0.0022081388,-0.0043557566,0.9999878407,-0.0008399689,-0.0048524598,0.0002554805
1690540639513772488,-0.0067621716,0.0021168028,-0.0058340929,0.9999719262,-0.0029613234,-0.0068842629,-0.0000154220
1690540639547129631,-0.0062251603,0.0015352980,-0.0062945220,0.9999487996,-0.0042585721,-0.0091781495,0.0001849838
1690540639580486774,-0.0058170976,0.0018381564,-0.0074486323,0.9999279380,-0.0043419166,-0.0111867515,0.0004256513
1690540639613843918,-0.0057203849,0.0014935543,-0.0089561697,0.9999038577,-0.0042766873,-0.0131769599,0.0006180464
1690540639647202492,-0.0053219753,0.0014561061,-0.0095064854,0.9998791814,-0.0039346456,-0.0150286350,0.0006026923
1690540639680560827,-0.0052051353,0.0008896864,-0.0108043794,0.9998571277,-0.0035663643,-0.0165191628,0.0003609946
1690540639713919401,-0.0052059293,0.0006625390,-0.0115983635,0.9998352528,-0.0027208533,-0.0179495793,-0.0000055159
1690540639747277737,-0.0055892211,0.0010627134,-0.0129830427,0.9998049140,-0.0020423769,-0.0196217727,-0.0009811588
1690540639780636311,-0.0061179120,0.0008557652,-0.0135578280,0.9997702241,-0.0020948946,-0.0212434791,-0.0019558780
1690540639813994646,-0.0062984033,0.0008825786,-0.0140128583,0.9997335076,-0.0020040551,-0.0228121094,-0.0029117772
1690540639847353220,-0.0067505250,0.0007764109,-0.0132494774,0.9996997118,-0.0018089667,-0.0241633691,-0.0036537631
1690540639880711555,-0.0065425821,0.0013621331,-0.0145982830,0.9996699095,-0.0015994483,-0.0253792126,-0.0036612595
1690540639914070129,-0.0077690221,0.0011890739,-0.0148974843,0.9996547699,-0.0021965986,-0.0258210171,-0.0043363716
