#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539890991674900,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690539891025030851,0.0000561207,0.0000391744,0.0001514641,1.0000000000,0.0000297065,-0.0000168708,-0.0000641328
1690539891058387041,-0.0000318400,0.0000259258,0.0000113333,1.0000000000,-0.0000207228,0.0000309332,-0.0001546170
1690539891091742992,0.0000004301,-0.0000867316,-0.0000911096,1.0000000000,-0.0000518475,0.0000474690,-0.0001281655
1690539891125098944,0.0000603006,-0.0000033405,0.0000287022,1.0000000000,-0.0000133412,-0.0000148787,-0.0001069992
1690539891158455133,0.0000576127,-0.0000374317,0.0000435047,1.0000000000,-0.0000312564,-0.0000078870,-0.0001093204
1690539891191811085,-0.0000363678,0.0000812317,0.0002057450,1.0000000000,0.0000066058,0.0000409154,-0.0001102256
1690539891225167036,-0.0000243905,-0.0000654433,-0.0001468984,1.0000000000,-0.0000522283,0.0000297116,-0.0001246348
1690539891258523226,-0.0000082319,0.0000552101,0.0001434787,1.0000000000,0.0000109924,0.0000135001,-0.0000778697
1690539891291879177,0.0000481174,0.0000208694,-0.0000509090,1.0000000000,0.0000015018,0.0000050013,-0.0000865662
1690539891325235128,0.0000194650,-0.0000318464,0.0001992562,1.0000000000,-0.0000363112,0.0000224647,-0.0000820569
1690539891358591318,0.0000725958,-0.0001611532,-0.0002321202,0.9999999404,-0.0000847748,0.0002544310,-0.0003409747
1690539891391947269,-0.0002704898,0.0000492811,-0.0000760448,0.9999998212,0.0004799076,-0.0001477807,0.0003308199
1690539891425303221,-0.0000228112,0.0001152223,-0.0003360049,0.9999995232,0.0003519598,-0.0006117752,0.0006821171
1690539891458659410,0.0000546483,0.0001245293,-0.0003893357,0.9999992847,0.0002787295,-0.0011260905,0.0003855853
1690539891492015362,-0.0001767994,-0.0000028283,0.0002094232,0.9999992251,-0.0000203998,-0.0012370095,0.0002605013
1690539891525371313,0.0002444944,0.0000440779,-0.0002103308,0.9999990463,0.0001176750,-0.0013465012,0.0002890416
1690539891558727264,0.0003820815,0.0000737983,-0.0002099376,0.9999995232,0.0001610210,-0.0009722493,0.0000415316
1690539891592083454,-0.0006343563,0.0001206206,0.0000886804,0.9999997616,0.0003267443,-0.0004115088,0.0005103715
1690539891625439405,0.0004519902,0.0001114494,0.0000332213,0.9999985099,0.0001174553,-0.0017303771,-0.0000275164
1690539891658796787,0.0000610854,0.0000276222,-0.0001389798,0.9999995232,0.0001254135,-0.0008889632,0.0004631488
1690539891692154408,-0.0000103440,0.0001218249,0.0004398453,0.9999997020,-0.0002971291,-0.0006272350,-0.0003293350
1690539891725511789,-0.0000603247,-0.0003791932,-0.0001796060,0.9999998808,-0.0002093479,-0.0000769962,-0.0004754757
1690539891758869171,-0.0003292894,0.0003930112,0.0000455474,0.9999998808,0.0004378048,-0.0001537442,0.0001882507
1690539891792226553,-0.0010514453,0.0009833918,0.0001590375,0.9999992251,-0.0007662605,-0.0009664377,0.0002978900
1690539891825583935,-0.0005729682,0.0014959100,0.0000374982,0.9999898672,-0.0036628216,-0.0026018640,0.0003674581
1690539891858941555,-0.0007649431,0.0003236488,0.0004460537,0.9999728203,-0.0071180919,-0.0019439755,-0.0001204098
1690539891892299175,-0.0010045300,-0.0029360845,0.0018866099,0.9999738336,-0.0069889338,-0.0017830383,-0.0005996714
1690539891925656557,0.0006194437,-0.0007039027,0.0002667436,0.9999914765,0.0007089862,0.0040634344,0.0002655075
1690539891959013939,-0.0005082188,0.0012147072,0.0001284094,0.9999932647,0.0004553700,0.0036291552,0.0003199094
